 ,Area,XM,YM,Perim.
1,7,565.79,2.50,9.07
2,6,606.33,2.67,8.49
3,11,553.50,7.50,12.49
4,7,590.36,7.21,9.07
5,8,485.38,8.38,9.07
6,8,518.25,10.00,10.49
7,5,607.70,8.90,7.66
8,4,495.00,10.50,7.66
9,5,578.10,10.30,7.66
10,4,498.00,13.00,5.66
11,10,602.20,15.60,12.49
12,10,479.70,16.50,10.49
13,3,560.17,18.50,7.66
14,9,550.50,20.50,9.66
15,4,612.00,20.00,5.66
16,5,481.10,21.70,7.66
17,5,616.70,21.10,7.66
18,5,485.10,23.70,7.66
19,4,571.00,25.00,5.66
20,8,492.62,26.62,9.07
21,6,600.00,26.50,7.66
22,6,605.17,27.83,9.07
23,3,497.83,28.17,5.66
24,8,584.50,30.25,10.49
25,8,597.25,34.12,10.49
26,8,475.00,34.50,9.90
27,5,524.90,35.30,7.66
28,9,497.39,38.83,10.49
29,7,486.64,39.79,9.07
30,7,471.50,40.50,8.49
31,4,598.00,43.00,5.66
32,3,530.17,45.17,5.66
33,5,602.10,45.70,7.66
34,7,488.50,47.21,9.07
35,9,568.83,49.50,10.49
36,8,516.75,51.00,10.49
37,6,593.67,50.67,8.49
38,10,537.60,54.70,11.07
39,6,484.50,55.00,7.66
40,11,598.68,56.59,12.49
41,5,516.30,56.10,7.07
42,8,578.62,56.62,9.07
43,6,492.67,58.33,8.49
44,8,548.62,58.62,9.07
45,6,483.33,59.33,8.49
46,9,588.50,60.50,9.66
47,11,471.50,62.50,12.49
48,8,511.25,62.25,10.49
49,6,535.00,61.50,7.66
50,3,561.17,64.17,5.66
51,4,468.00,65.00,5.66
52,4,496.00,65.00,5.66
53,3,531.83,64.83,5.66
54,6,541.67,65.67,8.49
55,7,526.79,69.50,9.07
56,7,565.21,69.50,8.49
57,12,469.75,71.17,11.90
58,7,553.07,70.79,9.90
59,10,592.20,72.80,11.31
60,8,462.38,73.38,9.07
61,8,490.50,74.00,10.49
62,11,524.68,74.68,11.90
63,8,454.50,76.00,10.49
64,7,536.50,75.21,9.07
65,6,587.67,75.67,8.49
66,8,575.62,76.62,9.07
67,6,456.50,79.67,8.49
68,6,471.33,82.33,8.49
69,3,511.17,82.50,7.66
70,10,456.00,86.00,11.31
71,5,585.30,85.10,7.07
72,10,486.10,87.10,11.31
73,4,497.00,86.00,5.66
74,9,512.61,87.83,10.49
75,5,562.90,87.70,7.66
76,4,460.00,88.00,5.66
77,8,449.38,91.62,9.07
78,10,549.80,92.80,11.31
79,3,493.83,92.83,5.66
80,11,463.05,96.86,11.31
81,8,470.38,97.38,9.07
82,5,493.70,98.90,7.66
83,9,454.17,100.61,10.49
84,6,521.50,100.33,8.49
85,4,492.25,103.25,7.66
86,7,541.79,106.50,9.07
87,7,510.50,109.21,9.07
88,7,462.50,110.50,8.49
89,7,567.93,110.36,9.90
90,10,504.80,112.20,11.31
91,9,524.06,112.17,10.49
92,6,499.00,113.50,7.66
93,7,575.79,114.50,9.07
94,7,451.21,115.07,9.66
95,6,564.50,117.00,7.66
96,9,482.50,120.50,12.49
97,10,527.30,121.00,10.49
98,6,496.00,122.50,7.66
99,5,535.10,123.30,7.66
100,8,445.38,125.38,9.07
101,6,460.00,125.50,7.66
102,12,558.00,126.83,11.90
103,9,570.17,128.39,10.49
104,10,437.90,132.30,13.31
105,10,510.70,133.50,10.49
106,7,535.79,134.50,9.07
107,7,492.36,136.36,10.49
108,6,563.00,135.50,7.66
109,8,551.38,136.38,9.07
110,8,461.62,138.00,10.49
111,8,501.62,138.62,9.07
112,4,434.00,139.00,5.66
113,5,493.70,140.10,7.66
114,9,438.39,142.83,10.49
115,6,477.00,143.50,7.66
116,7,539.79,143.50,9.07
117,8,560.00,146.50,9.90
118,12,442.00,149.00,11.31
119,8,460.50,149.00,10.49
120,12,455.00,149.83,11.90
121,8,549.62,149.38,9.07
122,6,433.33,151.67,8.49
123,11,481.86,151.41,11.07
124,8,545.62,152.62,9.07
125,6,505.83,153.83,9.07
126,8,433.62,157.62,9.07
